Sample ID	Lib or Ext	New Group ID
BLT024	Ext	1
GL951	Lib	1
AA451	Lib	1
AA479	Lib	1
KD032	Lib	2
GL948	Ext	2
GL946	Lib	2
AA288	Lib	2
AA511	Lib	3
GL949	Lib	3
AA507	Lib	3
LG507	Lib	3
LG411_R1	Ext	4
AA341	Lib	4
AA072	Lib	4
GL464	Lib	4
AA512	Lib	5
AA212	Ext	5
GL945	Ext	5
BLT014	Ext	5
AA157	Ext	6
AA513	Lib	6
AA411	Lib	6
GL454	Ext	6
AA447	Lib	7
AA343	Lib	7
AA414	Lib	7
AA440	Lib	7
AA301	Lib	8
AA415	Lib	8
AA424	Lib	8
AA346	Lib	8
BLT010	Ext	9
AA304	Lib	9
AA483	Lib	9
GL496	Lib	9
AA129	Ext	10
AA248	Ext	10
AA139	Ext	10
GL723	Lib	10
AA442	Ext	11
AA380	Lib	11
AA433	Lib	11
GL128	Ext	11
AA241	Lib	12
AA443	Ext	12
GL527	Ext	12
AA418	Lib	12
AA141	Ext	13
LG166	Lib	13
AA382	Lib	13
AA211	Ext	13
BLT009	Ext	14
GL470	Ext	14
GL333	Ext	14
LG423	Lib	14
AA302	Lib	15
AA420	Lib	15
AA213	Ext	15
AA378	Lib	15
BLT006	Ext	16
AA266	Lib	16
GL429	Ext	16
GL126	Ext	16
AA137	Ext	17
AA385	Lib	17
AA372	Lib	17
GL438	Ext	17
AA376	Lib	18
AA407	Lib	18
AA245	Lib	18
AA217	Ext	18
BLT027	Ext	19
GL210	Ext	19
AA425	Lib	19
AA149	Ext	19
AA271	Lib	20
AA480	Lib	20
AA354	Lib	20
AA074	Lib	20
AA357	Lib	21
AA489	Lib	21
AA285	Lib	21
AA358	Lib	21
AA476	Lib	22
AA294	Lib	22
AA016	Lib	22
AA084	Lib	22
AA417	Lib	23
VEM184	Lib	23
AA453	Lib	23
AA014	Lib	23
AA013	Lib	24
AA379	Lib	24
AA408	Lib	24
LG426	Lib	24
AA356	Lib	-
AA457	Lib	-
AA350	Lib	-
VEM183	Lib	-
