Library	Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)
ssDNA	AA248	32928	1015354	3.243006872	0.413550348	7	0.0724	20.65912588
ssDNA	GL210	75256	1849768	4.068402092	1.395364175	83	0.0791	32.83111355
ssDNA	AA443	164368	2172319	7.566476194	2.663973385	232	0.0947	45.76517035
ssDNA	LG411_R1	129375	1704372	7.590772437	1.062033406	90	0.0459	20.95529812
ssDNA	AA157	118053	1306453	9.036145962	2.910705552	240	0.0787	32.25948808
ssDNA	BLT006	173742	1892481	9.180646992	1.20556032	35	0.0576	20.78409493
ssDNA	AA141	118652	1291418	9.187730077	2.953110457	56	0.0666	33.8946128
ssDNA	AA137	111405	1196454	9.311264787	2.607872931	266	0.0836	29.81423436
ssDNA	BLT010	134892	1429683	9.43509855	2.419697234	205	0.0691	25.9528963
ssDNA	AA213	104493	1067160	9.791690093	1.41262791	34	0.0649	21.84682066
ssDNA	GL454	151112	1474237	10.25018365	2.673857731	314	0.1342	25.88550902
ssDNA	AA149	112972	1076966	10.48983905	2.594975143	129	0.0835	31.46864406
ssDNA	AA442	131832	1210842	10.88763026	4.797488029	124	0.0665	55.65384209
ssDNA	AA129	199436	1757313	11.34891735	3.752661023	81	0.0705	34.99324605
ssDNA	BLT009	182032	1442681	12.61761956	1.532008809	57	0.0459	20.52341469
ssDNA	BLT027	121571	936079	12.98725855	1.772072656	50	0.1052	21.12228596
ssDNA	AA217	57530	426709	13.48225606	2.827453839	46	0.1499	24.87714706
ssDNA	BLT014	362558	2592579	13.98445332	6.728628134	387	0.0841	37.91294803
ssDNA	AA211	312162	2171867	14.37297956	3.616934186	142	0.0898	25.56883456
ssDNA	GL438	375482	1769662	21.21772406	1.351557529	14	0.0413	18.63349455
ssDNA	GL333	289331	1299032	22.27281545	1.564241681	45	0.0539	18.80269671
ssDNA	AA139	304454	1366330	22.28261108	11.1546259	541	0.0762	57.12442313
ssDNA	GL128	417093	1480336	28.17556285	2.633996606	57	0.0444	20.79609261
ssDNA	GL470	71223	233593	30.49021161	2.203833163	11	0.0664	19.03570301
ssDNA	AA212	367972	1180249	31.17748882	14.20573116	138	0.0734	35.02147945
ssDNA	GL527	472491	1460074	32.36075706	2.351867097	30	0.0398	19.31686748
ssDNA	GL126	853795	2056506	41.51677651	2.384724382	67	0.0458	18.45736942
ssDNA	BLT024	1141380	2013120	56.69706724	36.83282666	30	0.0816	54.02679678
ssDNA	GL948	1313710	1613390	81.4254458	61.58380801	536	0.0696	66.08744836
ssDNA	GL945	1315477	1585395	82.97471608	51.57705178	381	0.0803	48.08621129
ssDNA	GL429	NA	NA	NA	NA	NA	NA	NA
dsDNA	AA248	4068	50120	8.116520351	5.367118915	44	0.0184	63.39744553
dsDNA	GL210	5018	208057	2.411839063	1.005493687	414	0.0917	36.78740676
dsDNA	AA443	8204	91687	8.94783339	2.818283944	20	0.4409	45.96424678
dsDNA	LG411_R1	3998	28170	14.19240327	9.503017394	8	0.0035	64.71059237
dsDNA	AA157	31790	347069	9.159561931	5.556531986	111	0.0354	53.84233353
dsDNA	BLT006	59534	3485689	1.707955013	0.665435	40	0.1032	28.70948287
dsDNA	AA141	12527	306734	4.083994601	2.188867227	10	0.0501	45.57786369
dsDNA	AA137	1852	66854	2.770215694	1.145780357	4	0.013	35.88949672
dsDNA	BLT010	282299	4702576	6.003071508	3.591223193	862	0.1158	35.94177881
dsDNA	AA213	3685	148265	2.485414629	1.232927528	11	0.0125	43.03215169
dsDNA	GL454	23376	73002	32.02104052	7.573765102	21	0.3672	42.4572742
dsDNA	AA149	206	7103	2.900183021	1.02773476	1	0.1262	39.03333333
dsDNA	AA442	1938	35942	5.392020477	2.612542429	5	0.1465	45.19830713
dsDNA	AA129	15757	246528	6.39156607	3.754948728	5	0.0426	48.76773167
dsDNA	BLT009	130301	5736981	2.271246846	0.864653	220	0.11	28.44336946
dsDNA	BLT027	69389	5356239	1.295479907	0.459539	110	0.1092	29.19995147
dsDNA	AA217	2205	70262	3.138253964	0.693120036	2	0.3116	34.76679842
dsDNA	BLT014	432521	4287728	10.08741693	6.573691242	423	0.1199	41.18850185
dsDNA	AA211	6353	102580	6.193215052	2.621368688	1	0.1264	37.86594595
dsDNA	GL438	19446	291340	6.674675637	1.496876502	331	0.277	40.83470839
dsDNA	GL333	22720	162151	14.01163113	2.310809061	14	0.3241	41.18539984
dsDNA	AA139	36443	722281	5.045543217	3.067504199	110	0.0246	52.7939232
dsDNA	GL128	3862	79611	4.851088417	2.629033676	4	0.0456	55.32989691
dsDNA	GL470	22025	123146	17.88527439	2.816981469	14	0.4224	39.53717969
dsDNA	AA212	36153	322968	11.19398826	6.779928662	13	0.0093	43.83680478
dsDNA	GL527	11548	137864	8.376370916	2.911565021	139	0.2497	41.8
dsDNA	GL126	2416	67087	3.601293842	1.210368626	1	0.0356	38.42575107
dsDNA	BLT024	2103175	3286147	64.00124523	45.62668682	36	0.1374	53.63900436
dsDNA	GL948	7952	20258	39.2536282	22.57379801	3	0.0033	61.29851123
dsDNA	GL945	9220	33539	27.49038433	6.285220191	0	0.0034	52.29404723
dsDNA	GL429	14733	185578	7.938979836	1.729192038	338	0.3151	38.17770069
