Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)
AA248	32928	1015354	3.243006872	0.413550348	7	0.0724	20.65912588
GL210	75256	1849768	4.068402092	1.395364175	83	0.0791	32.83111355
AA443	164368	2172319	7.566476194	2.663973385	232	0.0947	45.76517035
LG411_R1	129375	1704372	7.590772437	1.062033406	90	0.0459	20.95529812
AA157	118053	1306453	9.036145962	2.910705552	240	0.0787	32.25948808
BLT006	173742	1892481	9.180646992	1.20556032	35	0.0576	20.78409493
AA141	118652	1291418	9.187730077	2.953110457	56	0.0666	33.8946128
AA137	111405	1196454	9.311264787	2.607872931	266	0.0836	29.81423436
BLT010	134892	1429683	9.43509855	2.419697234	205	0.0691	25.9528963
AA213	104493	1067160	9.791690093	1.41262791	34	0.0649	21.84682066
GL454	151112	1474237	10.25018365	2.673857731	314	0.1342	25.88550902
AA149	112972	1076966	10.48983905	2.594975143	129	0.0835	31.46864406
AA442	131832	1210842	10.88763026	4.797488029	124	0.0665	55.65384209
AA129	199436	1757313	11.34891735	3.752661023	81	0.0705	34.99324605
BLT009	182032	1442681	12.61761956	1.532008809	57	0.0459	20.52341469
BLT027	121571	936079	12.98725855	1.772072656	50	0.1052	21.12228596
AA217	57530	426709	13.48225606	2.827453839	46	0.1499	24.87714706
BLT014	362558	2592579	13.98445332	6.728628134	387	0.0841	37.91294803
AA211	312162	2171867	14.37297956	3.616934186	142	0.0898	25.56883456
GL438	375482	1769662	21.21772406	1.351557529	14	0.0413	18.63349455
GL333	289331	1299032	22.27281545	1.564241681	45	0.0539	18.80269671
AA139	304454	1366330	22.28261108	11.1546259	541	0.0762	57.12442313
GL128	417093	1480336	28.17556285	2.633996606	57	0.0444	20.79609261
GL470	71223	233593	30.49021161	2.203833163	11	0.0664	19.03570301
AA212	367972	1180249	31.17748882	14.20573116	138	0.0734	35.02147945
GL527	472491	1460074	32.36075706	2.351867097	30	0.0398	19.31686748
GL126	853795	2056506	41.51677651	2.384724382	67	0.0458	18.45736942
BLT024	1141380	2013120	56.69706724	36.83282666	30	0.0816	54.02679678
GL948	1313710	1613390	81.4254458	61.58380801	536	0.0696	66.08744836
GL945	1315477	1585395	82.97471608	51.57705178	381	0.0803	48.08621129
GL429	NA	NA	NA	NA	NA	NA	NA
