Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	P5	P8	Pool	Species	Path
AA358	7565	83223	9.090035207	1.583696815	26	0.5754	32.30541719	13.41013187	51.44019272	15.81624766	1	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA358_trim_adRm.fq.gz
AA359	364	70970	0.512892772	0.07890658	0	0.3764	23.00881057	11.17875323	68.70745274	12.39402664	2	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA359_trim_adRm.fq.gz
AA360	39912	598651	6.666989615	3.871036714	82	0.013	48.71858659	13.15836019	56.63258172	14.25317644	3	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA360_trim_adRm.fq.gz
AA361	236720	408313	57.97513182	33.38982594	1650	0.0247	44.19730419	12.31138879	49.03228067	15.03012591	4	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA361_trim_adRm.fq.gz
AA362	1003	104406	0.960672758	0.363963757	1	0.0808	38.54446855	16.14358338	65.02617781	14.39567084	5	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA362_trim_adRm.fq.gz
AA363	214097	924259	23.16417801	15.04156303	451	0.0129	46.45668375	12.35091634	46.64602937	12.53177115	6	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA363_trim_adRm.fq.gz
AA364	35537	668801	5.313538706	2.638452993	118	0.0803	38.86623015	11.12707771	50.90281359	14.08284021	7	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA364_trim_adRm.fq.gz
AA365	3594	797799	0.450489409	0.081599501	0	0.1266	23.60433259	9.992103018	49.57633844	14.34903586	8	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA365_trim_adRm.fq.gz
AA366	4351	95422	4.559745132	1.795183501	7	0.0917	34.46128543	12.8982357	45.66674384	14.77058743	9	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA366_trim_adRm.fq.gz
AA367	8067	461395	1.748393459	0.445605176	9	0.2442	28.48335247	12.36981128	45.45106383	13.76850908	10	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA367_trim_adRm.fq.gz
AA368	5743	1118776	0.513328852	0.083305327	0	0.0131	21.04816514	5.651952334	45.33691576	11.81894346	11	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA368_trim_adRm.fq.gz
AA369	23549	548683	4.291913546	2.23918	21	0.0636	39.39615454	11.61852498	52.46013787	14.49983406	12	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA369_trim_adRm.fq.gz
AA370	10066	2240324	0.449310011	0.08458598	5	0.0035	22.40823447	7.729017715	47.10234081	12.44538783	13	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA370_trim_adRm.fq.gz
AA358	7565	83223	9.090035207	1.583696815	26	0.5754	32.30541719	13.41013187	51.44019272	15.81624766	1	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA358_trim_adRm.fq.gz
AA359	364	70970	0.512892772	0.07890658	0	0.3764	23.00881057	11.17875323	68.70745274	12.39402664	2	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA359_trim_adRm.fq.gz
AA360	39912	598651	6.666989615	3.871036714	82	0.013	48.71858659	13.15836019	56.63258172	14.25317644	3	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA360_trim_adRm.fq.gz
AA361	236720	408313	57.97513182	33.38982594	1650	0.0247	44.19730419	12.31138879	49.03228067	15.03012591	4	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA361_trim_adRm.fq.gz
AA362	1003	104406	0.960672758	0.363963757	1	0.0808	38.54446855	16.14358338	65.02617781	14.39567084	5	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA362_trim_adRm.fq.gz
AA363	214097	924259	23.16417801	15.04156303	451	0.0129	46.45668375	12.35091634	46.64602937	12.53177115	6	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA363_trim_adRm.fq.gz
AA364	35537	668801	5.313538706	2.638452993	118	0.0803	38.86623015	11.12707771	50.90281359	14.08284021	7	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA364_trim_adRm.fq.gz
AA365	3594	797799	0.450489409	0.081599501	0	0.1266	23.60433259	9.992103018	49.57633844	14.34903586	8	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA365_trim_adRm.fq.gz
AA366	4351	95422	4.559745132	1.795183501	7	0.0917	34.46128543	12.8982357	45.66674384	14.77058743	9	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA366_trim_adRm.fq.gz
AA367	8067	461395	1.748393459	0.445605176	9	0.2442	28.48335247	12.36981128	45.45106383	13.76850908	10	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA367_trim_adRm.fq.gz
AA368	5743	1118776	0.513328852	0.083305327	0	0.0131	21.04816514	5.651952334	45.33691576	11.81894346	11	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA368_trim_adRm.fq.gz
AA369	23549	548683	4.291913546	2.23918	21	0.0636	39.39615454	11.61852498	52.46013787	14.49983406	12	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA369_trim_adRm.fq.gz
AA370	10066	2240324	0.449310011	0.08458598	5	0.0035	22.40823447	7.729017715	47.10234081	12.44538783	13	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA370_trim_adRm.fq.gz
AA358	7565	83223	9.090035207	1.583696815	26	0.5754	32.30541719	13.41013187	51.44019272	15.81624766	1	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA358_trim_adRm.fq.gz
AA359	364	70970	0.512892772	0.07890658	0	0.3764	23.00881057	11.17875323	68.70745274	12.39402664	2	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA359_trim_adRm.fq.gz
AA360	39912	598651	6.666989615	3.871036714	82	0.013	48.71858659	13.15836019	56.63258172	14.25317644	3	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA360_trim_adRm.fq.gz
AA361	236720	408313	57.97513182	33.38982594	1650	0.0247	44.19730419	12.31138879	49.03228067	15.03012591	4	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA361_trim_adRm.fq.gz
AA362	1003	104406	0.960672758	0.363963757	1	0.0808	38.54446855	16.14358338	65.02617781	14.39567084	5	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA362_trim_adRm.fq.gz
AA363	214097	924259	23.16417801	15.04156303	451	0.0129	46.45668375	12.35091634	46.64602937	12.53177115	6	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA363_trim_adRm.fq.gz
AA364	35537	668801	5.313538706	2.638452993	118	0.0803	38.86623015	11.12707771	50.90281359	14.08284021	7	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA364_trim_adRm.fq.gz
AA365	3594	797799	0.450489409	0.081599501	0	0.1266	23.60433259	9.992103018	49.57633844	14.34903586	8	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA365_trim_adRm.fq.gz
AA366	4351	95422	4.559745132	1.795183501	7	0.0917	34.46128543	12.8982357	45.66674384	14.77058743	9	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA366_trim_adRm.fq.gz
AA367	8067	461395	1.748393459	0.445605176	9	0.2442	28.48335247	12.36981128	45.45106383	13.76850908	10	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA367_trim_adRm.fq.gz
AA368	5743	1118776	0.513328852	0.083305327	0	0.0131	21.04816514	5.651952334	45.33691576	11.81894346	11	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA368_trim_adRm.fq.gz
AA369	23549	548683	4.291913546	2.23918	21	0.0636	39.39615454	11.61852498	52.46013787	14.49983406	12	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA369_trim_adRm.fq.gz
AA370	10066	2240324	0.449310011	0.08458598	5	0.0035	22.40823447	7.729017715	47.10234081	12.44538783	13	46	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA370_trim_adRm.fq.gz
AA344	4200	114454	3.669596519	1.745679487	11	0.066	49.57456029	15.05918073	54.39418622	13.01451127	1	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA344_trim_adRm.fq.gz
AA345	1181	288206	0.409776341	0.128380395	0	0.0999	36.42427093	20.93154599	65.90574755	14.04102344	2	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA345_trim_adRm.fq.gz
AA346	77029	1268028	6.074708129	3.903541562	409	0.0117	64.36406626	12.04794913	63.68384567	11.79845913	3	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA346_trim_adRm.fq.gz
AA348	373369	1206652	30.94255842	21.7126396	109	0.0124	48.61839379	13.27747999	53.10741522	14.31318669	4	45	OXF06	Pig	/media/raid5/laurent/screen_results_27022016/raw_split//Pig/AA348_trim_adRm.fq.gz
