Extract No.	Need to be Checked(Y/N)	Old Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	Museum Code	Age	Period	Neolithic (Y/N/W)	Group	Country	Location	Site Code/Name	Wild/Dom Status	GMM Status	Desired Cov / Current Cov	Seq. strategy (N*S=lane * Shotgun; N*W=lane*WG Wapture; M=mt Capture). UDG for >55bp	Sequencing Status	Source Person	Other Details	Other Details2	Old Haplogroup	Consensus	Internal	External	Lat	Long	mtDNA_cov	mtDNA_bp	DNA	GMM ID (AE)	mtDNA source
AA181	N	GL2	1014	67294	1.506820816	0.11739531	1	0.5454	20.86883629	7.453942505	59.45934259	14.49622549	Arbon4199	3384-3370 BC cal	Late Neolithic	Y		Switzerland	Arbon	ARBON	Domestic?			M		Jörg Schibler		39 D000216	DNW	-	11	32	47.52	9.43	0.002648528	44	0	yes	NA
AA182	Y	GL15	2109	74763	2.820914089	0.171207683	0	0.624	20.97961119	10.01043391	66.31535653	14.15193642	Arbon5777	3384-3370 BC cal	Late Neolithic	W	?	Switzerland	Arbon	ARBON	Wild?			M		Jörg Schibler		52 D000285	DNW	Eu	12	32	47.52	9.43	0.356166857	5116	1	no	NGS
AA183	N	GL16	1860	129609	1.435085526	0.109560293	0	0.5059	21.79301075	11.61955904	61.22636545	13.67139609	Arbon10446	3384-3370 BC cal	Late Neolithic	W		Switzerland	Arbon	ARBON	Wild?			M		Jörg Schibler		50 D000315	DNW	-	13	32	47.52	9.43	0	0	0	yes	NA
AA184	Y	GL17	3928	39970	9.827370528	0.370277708	0	0.7566	19.43253564	5.509214494	63.41721291	19.00652996	Arbon5527	3384-3370 BC cal	Late Neolithic	W	?	Switzerland	Arbon	ARBON	Wild?			M		Jörg Schibler		51 D000284	DNW	Eu	1	33	47.52	9.43	0.157286462	2215	1	no	NGS
AA185	N	GL18	253	224904	0.112492441	0.017340732	0	0.4387	19.60869565	7.621570493	73.77390798	4.659506132	Arbon8603	3384-3370 BC cal	Late Neolithic	Y		Switzerland	Arbon	ARBON	Domestic?					Jörg Schibler		43 D000309	DNW	-	2	33	47.52	9.43	0	0	0	yes	NA
AA186	Y	GL20	980	24106	4.065377914	0.240603999	0	0.3806	20.2744898	11.13163701	65.92026881	17.25189342	Arbon5086	3384-3370 BC cal	Late Neolithic	W	?	Switzerland	Arbon	ARBON	Wild?			M		Jörg Schibler		40 D000224	DNW	Eu	3	33	47.52	9.43	0.062601577	982	1	no	NGS
AA187	N	GL21	825	16535	4.989416389	1.034169943	0	0.4073	25.73939394	15.20646618	59.84910795	17.81818605	Arbon8978	3384-3370 BC cal	Late Neolithic	W		Switzerland	Arbon	ARBON	Wild?			M		Jörg Schibler		41 D000311	DNW	-	4	33	47.52	9.43	0	0	0	yes	NA
AA189	N	GL23	615	5894	10.43434001	0.7804547	0	0.5398	17.84715447	5.087128888	58.68663047	21.74977723	Arbon748	3384-3370 BC cal	Late Neolithic	W		Switzerland	Arbon	ARBON	Wild			M		Jörg Schibler		44 D000169	DNW	-	6	33	47.52	9.43	0	0	0	yes	NA
AA191	Y	GL25	554	8937	6.198948193	0.257357055	1	0.4693	19.41155235	6.250955235	63.42005147	18.29291757	Arbon8729	3384-3370 BC cal	Late Neolithic	W	?	Switzerland	Arbon	ARBON	Wild?			M		Jörg Schibler		46 D000310	DNW	Eu	8	33	47.52	9.43	0.077349064	1217	1	no	NGS
AA192	N	GL26	884	21989	4.020191914	0.318340989	0	0.3111	21.66968326	12.42989617	70.0995043	13.4779182	Arbon7968	3384-3370 BC cal	Late Neolithic	W		Switzerland	Arbon	ARBON	Wild?			M		Jörg Schibler		47 D000304	DNW	-	9	33	47.52	9.43	0.022813459	379	0	yes	NA
