Population,Sample,Species,Bioproject,biosample,group_a,group_b,Site,Location,Alias,BP_max,BP_min,BP_median,Age ,Period,Lat,Long,Sex,reference,Path
DOM,Borly4_PAVH11,horse,PRJEB22390,SAMEA104233651,,Borly,Borly 4,Kazakhstan,Borly4_PAVH11_5015,,,4948,5015,Copper Age,52.2873032,76.9674023,female,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/PAVH11_CGG_1_018171.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Borly4_PAVH4,horse,PRJEB22390,SAMEA104233652,,Borly,Borly 4,Kazakhstan,Borly4_PAVH4_4974,,,4907,4974,Copper Age,52.2873032,76.9674023,female,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/PAVH4_CGG_1_018157.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Borly4_PAVH6,horse,PRJEB22390,SAMEA104233653,,Borly,Borly 4,Kazakhstan,Borly4_PAVH6_5012,,,4945,5012,Copper Age,52.2873032,76.9674023,female,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/PAVH6_CGG_1_018161.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Borly4_PAVH8,horse,PRJEB22390,SAMEA104233654,,Borly,Borly 4,Kazakhstan,Borly4_PAVH8_4978,,,4911,4978,Copper Age,52.2873032,76.9674023,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/PAVH8_CGG_1_018165.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Borly4_PAVH9,horse,PRJEB22390,SAMEA104233655,,Borly,Borly 4,Kazakhstan,Borly4_PAVH9_4977,,,4910,4977,Copper Age,52.2873032,76.9674023,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/PAVH9_CGG_1_018167.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_1,horse,PRJEB22390,SAMEA104233656,,,Botai,Kazakhstan,Botai_1_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Botai1_CGG_1_018173.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_2,horse,PRJEB22390,SAMEA104233657,,Botai,Botai,Kazakhstan,Botai_2_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Botai2_CGG_1_018174.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_3,horse,PRJEB22390,SAMEA104233658,,,Botai,Kazakhstan,Botai_3_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Botai3_CGG_1_018175.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_4,horse,PRJEB22390,SAMEA104233659,,Botai,Botai,Kazakhstan,Botai_4_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Botai4_CGG_1_018176.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_5,horse,PRJEB22390,SAMEA104233660,,Botai,Botai,Kazakhstan,Botai_5_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Botai5_CGG_1_018177.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_6,horse,PRJEB22390,SAMEA104233661,,Botai,Botai,Kazakhstan,Botai_6_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Botai6_CGG_1_018178.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_8,horse,PRJEB22390,SAMEA104233662,,,Botai,Kazakhstan,Botai_8_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,female,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/LOBOT_8_CGG_1_020179.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_A,horse,PRJEB31613,SAMEA5408166,,,Botai,Kazakhstan,Botai_A_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/LOBOT_A_CGG_1_020181.Horse_nuc_wY.realigned.r.t.m.1.3p.bam
DOM,Botai_B,horse,PRJEB31613,SAMEA5408167,,,Botai,Kazakhstan,Botai_B_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/LOBOT_B_CGG_1_020182.Horse_nuc_wY.realigned.r.t.m.3p1.bam
DOM,Botai_C,horse,PRJEB31613,SAMEA104233663,,,Botai,Kazakhstan,Botai_C_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/LOBOT_C_CGG_1_020183.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_D1,horse,PRJEB22390,SAMEA104233664,,,Botai,Kazakhstan,Botai_D1_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/LOBOT_D1_CGG_1_020204.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_D2,horse,PRJEB31613,SAMEA5408168,,,Botai,Kazakhstan,Botai_D2_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/LOBOT_D2_CGG_1_020205_i21_ACATAC_U.r.t.bam
DOM,Botai_D4,horse,PRJEB22390,SAMEA104233665,,,Botai,Kazakhstan,Botai_D4_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,female,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/LOBOT_D4_CGG_1_020207.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_D5,horse,PRJEB22390,SAMEA104233666,,,Botai,Kazakhstan,Botai_D5_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/LOBOT_D5_CGG_1_020208.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_D6,horse,PRJEB22390,SAMEA104233667,,,Botai,Kazakhstan,Botai_D6_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,female,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/LOBOT_D6_CGG_1_020209.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_E,horse,PRJEB31613,SAMEA5408169,,,Botai,Kazakhstan,Botai_E_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/LOBOT_E_CGG_1_020185_i27_TGCATA_U.r.t.3p2.bam
DOM,Botai_F,horse,PRJEB22390,SAMEA104233668,,,Botai,Kazakhstan,Botai_F_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/LOBOT_F_CGG_1_020186.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_G,horse,PRJEB31613,SAMEA104233669,,,Botai,Kazakhstan,Botai_G_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/LOBOT_G_CGG_1_020187.Horse_nuc_wY.realigned.r.t.m.bam
DOM,Botai_I,horse,PRJEB31613,SAMEA104233670,,,Botai,Kazakhstan,Botai_I_5500,,,5433,5500,Copper Age,53.3039424,67.6457864,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/LOBOT_I_CGG_1_020189.Horse_nuc_wY.realigned.r.t.m.bam
