Population,Sample,bioproject,biosample,Breed,Alias,Sex,Reference,SFS,Path
AFR,Moroccan1,PRJEB3134,SAMEA2012964,Moroccan village goat,MOCH-T6-0074,male,Alberto_et_al_2018,1,/home/trinity/inbox/goats/modern/ERR219543_realigned_dups-removed_q30.bam
AFR,Moroccan10,PRJEB3134,SAMEA2012711,Moroccan village goat,MOCH-L14-0418,female,Alberto_et_al_2018,1,
AFR,Moroccan11,PRJEB3134,SAMEA2012901,Moroccan village goat,MOCH-S4-0026,female,Alberto_et_al_2018,1,
AFR,Moroccan12,PRJEB3134,SAMEA2012835,Moroccan village goat,MOCH-R11-0005,female,Alberto_et_al_2018,1,
AFR,Moroccan13,PRJEB3134,SAMEA2012895,Moroccan village goat,MOCH-S11-0188,female,Alberto_et_al_2018,1,
AFR,Moroccan14,PRJEB3134,SAMEA2012821,Moroccan village goat,MOCH-P13-0389,female,Alberto_et_al_2018,1,
AFR,Moroccan15,PRJEB3134,SAMEA2037756,Moroccan village goat,MOCH-L19-1290,female,Alberto_et_al_2018,1,
AFR,Moroccan16,PRJEB3134,SAMEA2013067,Moroccan village goat,MOCH-X9-2235,female,Alberto_et_al_2018,1,
AFR,Moroccan17,PRJEB3134,SAMEA2012706,Moroccan village goat,MOCH-K18-1315,female,Alberto_et_al_2018,1,
AFR,Moroccan18,PRJEB3134,SAMEA2037792,Moroccan village goat,MOCH-Q11-0193,female,Alberto_et_al_2018,1,
AFR,Moroccan19,PRJEB3134,SAMEA2012893,Moroccan village goat,MOCH-R9-0231,male,Alberto_et_al_2018,1,
AFR,Moroccan2,PRJEB3134,SAMEA2012707,Moroccan village goat,MOCH-L18-1280,male,Alberto_et_al_2018,1,/home/trinity/inbox/goats/modern/ERR234315_realigned_dups-removed_q30.bam
AFR,Moroccan3,PRJEB3134,SAMEA2012705,Moroccan village goat,MOCH-K17-1351,male,Alberto_et_al_2018,1,/home/trinity/inbox/goats/modern/ERR315500_realigned_dups-removed_q30.bam
AFR,Moroccan4,PRJEB3134,SAMEA2012826,Moroccan village goat,MOCH-Q10-0090,female,Alberto_et_al_2018,1,/home/trinity/inbox/goats/modern/ERR229484_realigned_dups-removed_q30.bam
AFR,Moroccan5,PRJEB3134,SAMEA2012908,Moroccan village goat,MOCH-T10-0266,female,Alberto_et_al_2018,1,/home/trinity/inbox/goats/modern/ERR232497_realigned_dups-removed_q30.bam
