Population,Sample,Bioproject,Biosample,Breed,Alias,Sex,Reference,SFS,Path
DOM,Prze_0150A,PRJEB10098,SAMEA3498579,Przewalski,KB3879_SB274,female,Der_Sarkissian_et_al_2015,1,/home/ludo/inbox/BAMs/modern/Prze_0150A_KB3879.Horse_nuc_wY.realigned.bam
DOM,Prze_0151A,PRJEB10098,SAMEA3498580,Przewalski,KB7674_SB285,male,Der_Sarkissian_et_al_2015,1,/home/ludo/inbox/BAMs/modern/Prze_0151A_KB7674.Horse_nuc_wY.realigned.bam
DOM,Prze_0157A,PRJEB10098,SAMEA3498586,Przewalski,SB293,male,Der_Sarkissian_et_al_2015,1,/home/ludo/inbox/BAMs/modern/Prze_0157A_SB293.Horse_nuc_wY.realigned.bam
DOM,Prze_0158A,PRJEB10098,SAMEA3498587,Przewalski,SB339,female,Der_Sarkissian_et_al_2015,1,/home/ludo/inbox/BAMs/modern/Prze_0158A_SB339.Horse_nuc_wY.realigned.bam
DOM,Prze_0159A,PRJEB10098,SAMEA3498588,Przewalski,SB4329_SB159,male,Der_Sarkissian_et_al_2015,1,/home/ludo/inbox/BAMs/modern/Prze_0159A_SB4329.Horse_nuc_wY.realigned.bam
DOM,Prze_0160A,PRJEB10098,SAMEA3498589,Przewalski,SB533,male,Der_Sarkissian_et_al_2015,1,/home/ludo/inbox/BAMs/modern/Prze_0160A_SB533.Horse_nuc_wY.realigned.bam
DOM2,Arab_0237A,PRJNA230019,SAMN02439777,Arabian,NGSHORSE002,male,Metzger_et_al_2014,1,/home/ludo/inbox/BAMs/modern/Arab_0237A_SAMN02439777.Horse_nuc_wY.realigned.bam
DOM2,Conn_0004A,PRJNA273402,SAMN03291442,Connemara Pony,Con15,male,Finno_et_al_2015,1,/home/ludo/inbox/BAMs/modern/Conn_0004A_CON15.Horse_nuc_wY.realigned.bam
DOM2,Duel_0238A,PRJNA230019,SAMN02422919,Duelmener,NGSHORSE001,female,Metzger_et_al_2014,1,/home/ludo/inbox/BAMs/modern/Duel_0238A_SAMN02422919.Horse_nuc_wY.realigned.bam
DOM2,Frie_0296A,PRJEB13863,SAMEA3951218,Friesian dwarf,23CONTROL,male,Leegwater_et_al_2016,0,/home/ludo/inbox/BAMs/modern/Frie_0296A_SAMEA3951218.Horse_nuc_wY.realigned.bam
