Population,Sample,Bioproject,Biosample,Breed,Alias,Sex,Reference,SFS,Path
ASD,JI01U08,PRJEB9922,SAMEA3497793,Jinhua,JI01U08,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/JI01U08_Jinhua_rh.bam
ASD,JI01U10,PRJEB9922,SAMEA3497794,Jinhua,JI01U10,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/JI01U10_Jinhua_rh.bam
ASD,JQ01U02,PRJEB9922,SAMEA3497795,Jianquhai,JQ01U02,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/JQ01U02_Jiangquhai_rh.bam
ASD,JQ01U03,PRJEB9922,SAMEA3497796,Jiangquhai,JQ01U03,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/JQ01U03_Jiangquahai_rh.bam
ASD,JQ01U08,PRJEB9922,SAMEA3497797,Jiangquhai,JQ01U08,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/JQ01U08_Jiangquahai_rh.bam
ASD,LSP01U16,PRJEB9922,SAMEA3497798,Leping_Spotted,LSP01U16,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LSP01U16_LepingSpotted_rh.bam
ASD,LSP01U18,PRJEB9922,SAMEA3497799,Leping_Spotted,LSP01U18,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/LSP01U18_LepingSpotted_rh.bam
ASD,MS20M03,PRJEB9922,SAMEA3497800,Meishan1,MS20M03,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS20M03_Meishan_rh.bam
ASD,MS20M05,PRJEB9922,SAMEA3497801,Meishan1,MS20M05,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS20M05_Meishan_rh.bam
ASD,MS20U10,PRJEB9922,SAMEA3497802,Meishan1,MS20U10,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS20U10_Meishan_rh.bam
ASD,MS20U11,PRJEB9922,SAMEA3497803,Meishan1,MS20U11,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS20U11_Meishan_rh.bam
ASD,MS20U13,PRJEB9922,SAMEA3497804,Meishan1,MS20U13,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS20U13_Meishan_rh.bam
ASD,MS21M01,PRJEB9922,SAMEA3497805,Meishan2,MS21M01,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS21M01_Meishan_rh.bam
ASD,MS21M05,PRJEB9922,SAMEA3497806,Meishan2,MS21M05,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS21M05_Meishan_rh.bam
ASD,MS21M07,PRJEB9922,SAMEA3497807,Meishan2,MS21M07,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS21M07_Meishan_rh.bam
ASD,MS21M08,PRJEB9922,SAMEA3497808,Meishan2,MS21M08,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS21M08_Meishan_rh.bam
ASD,MS21M14,PRJEB9922,SAMEA3497809,Meishan2,MS21M14,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MS21M14_Meishan_rh.bam
ASD,WS01U03,PRJEB9922,SAMEA3497810,Wannan_Spotted,WS01U03,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WS01U03_WannanSpotted_rh.bam
ASD,WS01U13,PRJEB9922,SAMEA3497811,Wannan_Spotted,WS01U13,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WS01U13_WannanSpotted_rh.bam
ASD,XI01U03,PRJEB9922,SAMEA3497812,Xiang,XI01U03_Xiang,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/XI01U03_rh.bam
ASD,XI01U04,PRJEB9922,SAMEA3497813,Xiang,XI01U04,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/XI01U04_Xiang_rh.bam
ASD,ZA01U02,PRJEB9922,SAMEA3497814,Zang,ZA01U02,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/ZA01U02_Zang_rh.bam
ASW,WB20U02,PRJEB9922,SAMEA3497823,Japanese_wild,WB20U02,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB20U02_Japan_rh.bam
ASW,WB29U04,PRJEB9922,SAMEA3497815,Chinese_wild1,WB29U04,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB29U04_SChina_rh.bam
ASW,WB29U12,PRJEB9922,SAMEA3497816,Chinese_wild1,WB29U12,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB29U12_SChina_rh.bam
ASW,WB29U13,PRJEB9922,SAMEA3497817,SChina,WB29U13,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB29U13_WBSChina_rh.bam
ASW,WB29U14,PRJEB9922,SAMEA3497818,Chinese_wild1,WB29U14,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB29U14_WBSChina_rh.bam
ASW,WB29U16,PRJEB9922,SAMEA3497819,Chinese_wild1,WB29U16,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB29U16_WBSChina_rh.bam
ASW,WB30U01,PRJEB9922,SAMEA3497820,Chinese_wild2,WB30U01,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB30U01_NChina_rh.bam
ASW,WB30U08,PRJEB9922,SAMEA3497821,Chinese_wild2,WB30U08,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB30U08_NChina_rh.bam
ASW,WB30U09,PRJEB9922,SAMEA3497822,Chinese_wild2,WB30U09,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB30U09_WBNChina_rh.bam
BLW,WB31F05,PRJEB9922,SAMEA3497880,Greece1,WB31F05,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB31F05_WBGreece_rh.bam
BLW,WB31M09,PRJEB9922,SAMEA3497881,Greece1,WB31M09,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB31M09_WBGreece_rh.bam
BLW,WB32F07,PRJEB9922,SAMEA3497882,Greece2,WB32F07,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB32F07_WBGreece_rh.bam
BLW,WB32U05,PRJEB9922,SAMEA3497883,Greece2,WB32U05,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB32U05_WBGreece_rh.bam
