QTL_ID	QTL_symbol	Trait_name	Assotype	MapType	Chromosome	Position_cm	Range_cm	FlankMark_A2	FlankMark_A1	Peak_Mark	FlankMark_B1	FlankMark_B2	Exp_ID	Model	TestBase	SigLevel	LOD_score	LS_mean	P_values	F_Statistics	VARIANCE	Dom_effect	Add_effect	PUBMED_ID	Cand_gene_symb	Cand_gene_name	Comments
28920	SARRESI	Equine sarcoids	QTL	Linkage	23	36.3	26.3 - 49.3						1308	Mendelian		Significant			<0.05	4.62				22222899			
28921	SARRESI	Equine sarcoids	QTL	Linkage	25	38.9	35.3 - 42.4						1308	Mendelian		Significant			<0.05	4.16				22222899			
28922	OSTD	Osteochondrosis dissecans	Association	Linkage	16	8.4	8.44-34.99			AHT081			1309	Mendelian		Significant	0.79		0.03					22444898			Fetlock and/or hock
27140	OSTD	Osteochondrosis dissecans	Association	Linkage	1	156.5				HMS007			1245	Mendelian		Significant	1.20		<0.05					17559552			Fetlock
27141	OSTD	Osteochondrosis dissecans	Association	Linkage	1	156.5				1CA016			1245	Mendelian		Significant	1.21		<0.05					17559552			Fetlock
27142	OSTEO	osteochondrosis	Association	Linkage	17	46.6				COR032			1245	Mendelian		Significant	1.10		<0.05					17559552			Fetlock and hock
27143	OSTD	Osteochondrosis dissecans	Association	Linkage	18	45.9				COR096			1245	Mendelian		Significant			<0.01					17559552			Fetlock
27144	OSTD	Osteochondrosis dissecans	Association	Linkage	18	60.8				TKY741			1245	Mendelian		Significant	0.57		<0.05					17559552			Fetlock
27145	OSTEO	osteochondrosis	Association	Linkage	23	44.4				LEX053			1245	Mendelian		Significant	0.60		<0.05					17559552			Fetlock and hock
27146	OSTD	Osteochondrosis dissecans	Association	Linkage	25	41.18	41.18-41.18			NVHEQ043			1245	Mendelian		Significant	0.76		<0.05					17559552			Fetlock
27147	OSTEO	osteochondrosis	Association	Linkage	1	156.5				HMS007			1245	Mendelian		Significant	1.35		<0.05					17559552			Fetlock
27148	OSTEO	osteochondrosis	Association	Linkage	1	156.5				1CA016			1245	Mendelian		Significant	1.35		<0.05					17559552			Fetlock
27149	OSTEO	osteochondrosis	Association	Linkage	1	193.5				COR053			1245	Mendelian		Significant	1.00		<0.05					17559552			Fetlock
27150	OSTEO	osteochondrosis	Association	Linkage	15	75.5				LEX046			1245	Mendelian		Significant	0.81		<0.05					17559552			Fetlock
27151	OSTEO	osteochondrosis	Association	Linkage	16	30.6				COR011			1245	Mendelian		Significant	0.76		<0.05					17559552			Fetlock
27152	OSTEO	osteochondrosis	Association	Linkage	16	41.4				HMS020			1245	Mendelian		Significant	0.59		<0.05					17559552			Fetlock
27153	OSTEO	osteochondrosis	Association	Linkage	18	78.2				TKY016			1245	Mendelian		Significant	0.62		<0.05					17559552			Hock
27154	OSTEO	osteochondrosis	Association	Linkage	23	44.4				LEX053			1245	Mendelian		Significant	0.61		<0.05					17559552			Fetlock
27155	OSTEO	osteochondrosis	Association	Linkage	25	41.18	41.18-41.18			NVHEQ043			1245	Mendelian		Significant	0.76		<0.05					17559552			Fetlock
27156	OSTEO	osteochondrosis	Association	Linkage	1	240.5				1CA020			1245	Mendelian		Significant	0.72		<0.05					17559552			Palmar/plantar osseous fragments
27157	OSTEO	osteochondrosis	Association	Linkage	1	115.5				LEX058			1245	Mendelian		Significant	0.84		<0.05					17559552			Palmar/plantar osseous fragments
27158	OSTEO	osteochondrosis	Association	Linkage	1	276.4				TKY002			1245	Mendelian		Significant	0.91		<0.05					17559552			Palmar/plantar osseous fragments
27159	OSTEO	osteochondrosis	Association	Linkage	1	274.3				1CA043			1245	Mendelian		Significant	0.90		<0.05					17559552			Palmar/plantar osseous fragments
27160	OSTEO	osteochondrosis	Association	Linkage	1	122.9				1CA025			1245	Mendelian		Significant	0.92		<0.05					17559552			Palmar/plantar osseous fragments
27161	OSTEO	osteochondrosis	Association	Linkage	1	134.6				AHT058			1245	Mendelian		Significant	0.86		<0.05					17559552			Palmar/plantar osseous fragments
27162	OSTEO	osteochondrosis	Association	Linkage	1	134.6				UM004			1245	Mendelian		Significant	0.86		<0.05					17559552			Palmar/plantar osseous fragments
27163	OSTEO	osteochondrosis	Association	Linkage	1	306.4				UCDEQ440			1245	Mendelian		Significant	0.85		<0.05					17559552			Palmar/plantar osseous fragments
27164	OSTEO	osteochondrosis	Association	Linkage	1	293.8				HTG012			1245	Mendelian		Significant	0.85		<0.05					17559552			Palmar/plantar osseous fragments
27165	OSTEO	osteochondrosis	Association	Linkage	1	315.2				HMS015			1245	Mendelian		Significant			<0.05					17559552			Palmar/plantar osseous fragments
27166	OSTEO	osteochondrosis	Association	Linkage	4	7.8				AHT084			1245	Mendelian		Significant	1.04		<0.05					17559552			Palmar/plantar osseous fragments
27167	OSTEO	osteochondrosis	Association	Linkage	4	10.1				HMS006			1245	Mendelian		Significant	1.14		<0.05					17559552			Palmar/plantar osseous fragments
27168	OSTEO	osteochondrosis	Association	Linkage	4	57.8				LEX050			1245	Mendelian		Significant	0.66		<0.05					17559552			Palmar/plantar osseous fragments
27169	OSTEO	osteochondrosis	Association	Linkage	4	80.3				COR089			1245	Mendelian		Significant	1.96		<0.05					17559552			Palmar/plantar osseous fragments
27170	OSTEO	osteochondrosis	Association	Linkage	4	81.5				TKY830			1245	Mendelian		Significant	1.960.		<0.05					17559552			Palmar/plantar osseous fragments
27171	OSTEO	osteochondrosis	Association	Linkage	4	82.8				ASB022			1245	Mendelian		Significant	1.62		0.003					17559552			Palmar/plantar osseous fragments
27172	OSTEO	osteochondrosis	Association	Linkage	4	71.3				HTG007			1245	Mendelian		Significant	0.81		<0.05					17559552			Palmar/plantar osseous fragments
27173	OSTEO	osteochondrosis	Association	Linkage	4	73.3				HTG009			1245	Mendelian		Significant	1.06		<0.05					17559552			Palmar/plantar osseous fragments
27174	OSTEO	osteochondrosis	Association	Linkage	8	79.3				COR003			1245	Mendelian		Significant	0.80		<0.05					17559552			Palmar/plantar osseous fragments
27175	OSTEO	osteochondrosis	Association	Linkage	8	108.8				COR056			1245	Mendelian		Significant	0.81		<0.05					17559552			Palmar/plantar osseous fragments
27176	OSTEO	osteochondrosis	Association	Linkage	12	361.42	361.42-361.42			SGCV010			1245	Mendelian		Significant	0.85		<0.05					17559552			Palmar/plantar osseous fragments
27177	OSTEO	osteochondrosis	Association	Linkage	18	78.2				TKY016			1245	Mendelian		Significant	0.87		<0.05					17559552			Palmar/plantar osseous fragments
27178	OSTEO	osteochondrosis	Association	Linkage	26	19.4				UM005			1245	Mendelian		Significant	0.68		<0.05					17559552			Palmar/plantar osseous fragments
27179	OSTEO	osteochondrosis	Association	Linkage	2	26.9				COR037			1247	Mendelian		Significant	2.33		<0.05					17906894			Fetlock and hock
27180	OSTEO	osteochondrosis	Association	Linkage	2	26.9				COR090			1247	Mendelian		Significant	2.33		<0.05					17906894			Fetlock and hock
27181	OSTEO	osteochondrosis	Association	Linkage	2	26.9				TKY003			1247	Mendelian		Significant	2.33		<0.05					17906894			Fetlock and hock
27182	OSTEO	osteochondrosis	Association	Linkage	2	41.7				HMS054			1247	Mendelian		Significant	0.82		<0.05					17906894			Fetlock and hock
27183	OSTD	Osteochondrosis dissecans	Association	Linkage	2	41.7				HMS054			1247	Mendelian		Significant	1.08		<0.05					17906894			Fetlock and hock
27184	OSTD	Osteochondrosis dissecans	Association	Linkage	3	20.7				COR028			1247	Mendelian		Significant	0.78		<0.05					17906894			Fetlock and hock
27185	OSTD	Osteochondrosis dissecans	Association	Linkage	3	24.4				COR033			1247	Mendelian		Significant	0.81		<0.05					17906894			Fetlock and hock
27186	OSTD	Osteochondrosis dissecans	Association	Linkage	3	30.2				SGCV018			1247	Mendelian		Significant	0.95		<0.05					17906894			Fetlock and hock
27187	OSTEO	osteochondrosis	Association	Linkage	4	17.2				TKY797			1247	Mendelian		Significant	2.24		<0.05					17906894			Fetlock and hock
27188	OSTEO	osteochondrosis	Association	Linkage	4	24.3				UMNe224			1247	Mendelian		Significant	2.13		<0.05					17906894			Fetlock and hock
27189	OSTEO	osteochondrosis	Association	Linkage	4	142.8				ASB029			1247	Mendelian		Significant	0.81		<0.05					17906894			Fetlock and hock
27190	OSTEO	osteochondrosis	Association	Linkage	16	30.6				COR011			1247	Mendelian		Significant	0.67		<0.05					17906894			Fetlock and hock
27191	OSTD	Osteochondrosis dissecans	Association	Linkage	16	30.6				COR011			1247	Mendelian		Significant	0.73		<0.05					17906894			Fetlock and hock
27192	OSTD	Osteochondrosis dissecans	Association	Linkage	19	0	0-1			COR062			1247	Mendelian		Significant	0.66		<0.05					17906894			Fetlock and hock
27193	OSTD	Osteochondrosis dissecans	Association	Linkage	19	2				AHT094			1247	Mendelian		Significant	0.57		<0.05					17906894			Fetlock and hock
27194	OSTEO	osteochondrosis	Association	Linkage	2	26.9				COR037			1247	Mendelian		Significant	3.33		<0.05					17906894			Fetlock
27195	OSTD	Osteochondrosis dissecans	Association	Linkage	2	26.9				COR037			1247	Mendelian		Significant	1.62		<0.05					17906894			Fetlock
27196	OSTEO	osteochondrosis	Association	Linkage	2	31.4				AHT035			1247	Mendelian		Significant	3.41		<0.05					17906894			Fetlock
27197	OSTD	Osteochondrosis dissecans	Association	Linkage	2	31.4				AHT035			1247	Mendelian		Significant	1.73		<0.05					17906894			Fetlock
27198	OSTEO	osteochondrosis	Association	Linkage	2	41.7				HMS054			1247	Mendelian		Significant	3.14		<0.05					17906894			Fetlock
27199	OSTD	Osteochondrosis dissecans	Association	Linkage	2	41.7				HMS054			1247	Mendelian		Significant	1.80		<0.05					17906894			Fetlock
27200	OSTEO	osteochondrosis	Association	Linkage	2	43.4				UM007			1247	Mendelian		Significant	1.89		<0.05					17906894			Fetlock
27201	OSTD	Osteochondrosis dissecans	Association	Linkage	2	43.4				UM007			1247	Mendelian		Significant	0.71		<0.05					17906894			Fetlock
27202	OSTEO	osteochondrosis	Association	Linkage	2	69.8				UCDEQ380			1247	Mendelian		Significant	1.29		<0.05					17906894			Fetlock
27203	OSTEO	osteochondrosis	Association	Linkage	4	81.5				TKY830			1247	Mendelian		Significant	0.82		<0.05					17906894			Fetlock
27204	OSTEO	osteochondrosis	Association	Linkage	4	82.8				ASB022			1247	Mendelian		Significant	0.83		<0.05					17906894			Fetlock
27205	OSTEO	osteochondrosis	Association	Linkage	4	80.3				COR089			1247	Mendelian		Significant	0.83		<0.05					17906894			Fetlock
27206	OSTD	Osteochondrosis dissecans	Association	Linkage	5	65.5				ASB010			1247	Mendelian		Significant	1.26		<0.05					17906894			Fetlock
27207	OSTEO	osteochondrosis	Association	Linkage	5	108.2				TKY911			1247	Mendelian		Significant	0.70		<0.05					17906894			Fetlock
27208	OSTD	Osteochondrosis dissecans	Association	Linkage	5	108.2				TKY911			1247	Mendelian		Significant	1.63		<0.05					17906894			Fetlock
27209	OSTEO	osteochondrosis	Association	Linkage	5	79.3				LEX014			1247	Mendelian		Significant	0.96		<0.05					17906894			Fetlock
27210	OSTD	Osteochondrosis dissecans	Association	Linkage	5	79.3				LEX014			1247	Mendelian		Significant	1.49		<0.05					17906894			Fetlock
27211	OSTEO	osteochondrosis	Association	Linkage	5	100.1				AHT107			1247	Mendelian		Significant	0.63		<0.05					17906894			Fetlock
27212	OSTEO	osteochondrosis	Association	Linkage	2	41.7				HMS054			1247	Mendelian		Significant	0.87		<0.05					17906894			Hock
27213	OSTEO	osteochondrosis	Association	Linkage	2	69.8				UCDEQ380			1247	Mendelian		Significant	1.19		<0.05					17906894			Hock
27214	OSTEO	osteochondrosis	Association	Linkage	15	51				COR077			1247	Mendelian		Significant	0.58		<0.05					17906894			Hock
27215	OSTD	Osteochondrosis dissecans	Association	Linkage	16	0	0-1			AHT037			1247	Mendelian		Significant	1.37		<0.05					17906894			Hock
27216	OSTD	Osteochondrosis dissecans	Association	Linkage	16	7.7				TKY279			1247	Mendelian		Significant	0.83		<0.05					17906894			Hock
27217	OSTD	Osteochondrosis dissecans	Association	Linkage	16	30.6				COR011			1247	Mendelian		Significant	1.68		<0.05					17906894			Hock
27218	OSTEO	osteochondrosis	Association	Linkage	16	42.5				AHT038			1247	Mendelian		Significant	0.94		<0.05					17906894			Hock
27219	OSTD	Osteochondrosis dissecans	Association	Linkage	16					AHT035			1247	Mendelian		Significant	1.78		<0.05					17906894			Hock
